common_species_name,genus,species,scientific_name,classification,moisture,Specific_gravity,modulus_of_rupture,modulus_of_elasticity,work_to_maximum_load,impact_bending,compression_parallel_to_grain,compression_perpendicular_to_grain,shear_parallel_to_grain,tension_perpendicular_to_grain,strength
"Alder, Red",Alnus,rubra,Alnus rubra,Hardwood,Green,0.37,6500,1.17,8,22,2960,250,770,390,440
"Alder, Red",Alnus,rubra,Alnus rubra,Hardwood,12%,0.41,9800,1.38,8.4,20,5820,440,1080,420,590
"Ash, Black",Fraxinus,nigra,Fraxinus nigra,Hardwood,Green,0.45,6000,1.04,12.1,33,2300,350,860,490,520
"Ash, Black",Fraxinus,nigra,Fraxinus nigra,Hardwood,12%,0.49,12600,1.6,14.9,35,5970,760,1570,700,850
"Ash, Blue",Fraxinus,quadrangulata,Fraxinus quadrangulata,Hardwood,Green,0.53,9600,1.24,14.7,,4180,810,1540,,
"Ash, Blue",Fraxinus,quadrangulata,Fraxinus quadrangulata,Hardwood,12%,0.58,13800,1.4,14.4,,6980,1420,2030,,
"Ash, Green",Fraxinus,pennsylvanica,Fraxinus pennsylvanica,Hardwood,Green,0.53,9500,1.4,11.8,35,4200,730,1260,590,870
"Ash, Green",Fraxinus,pennsylvanica,Fraxinus pennsylvanica,Hardwood,12%,0.56,14100,1.66,13.4,32,7080,1310,1910,700,1200
"Ash, Oregon",Fraxinus,latifolia,Fraxinus latifolia,Hardwood,Green,0.5,7600,1.13,12.2,39,3510,530,1190,590,790
"Ash, Oregon",Fraxinus,latifolia,Fraxinus latifolia,Hardwood,12%,0.55,12700,1.36,14.4,33,6040,1250,1790,720,1160
"Ash, White",Fraxinus,americana,Fraxinus americana,Hardwood,Green,0.55,9500,1.44,15.7,38,3990,670,1350,590,960
"Ash, White",Fraxinus,americana,Fraxinus americana,Hardwood,12%,0.6,15400,1.74,16.6,43,7410,1160,1910,940,1320
"Aspen, Bigtooth",Populus,grandidentata,Populus grandidentata,Hardwood,Green,0.36,5400,1.12,5.7,,2500,210,730,,
"Aspen, Bigtooth",Populus,grandidentata,Populus grandidentata,Hardwood,12%,0.39,9100,1.43,7.7,,5300,450,1080,,
"Aspen, Quaking",Populus,tremuloides,Populus tremuloides,Hardwood,Green,0.35,5100,0.86,6.4,22,2140,180,660,230,300
"Aspen, Quaking",Populus,tremuloides,Populus tremuloides,Hardwood,12%,0.38,8400,1.18,7.6,21,4250,370,850,260,350
"Basswood, American",Tilia,americana,Tilia americana,Hardwood,Green,0.32,5000,1.04,5.3,16,2220,170,600,280,250
"Basswood, American",Tilia,americana,Tilia americana,Hardwood,12%,0.37,8700,1.46,7.2,16,4730,370,990,350,410
"Beech, American",Fagus,grandifolia,Fagus grandifolia,Hardwood,Green,0.56,8600,1.38,11.9,43,3550,540,1290,720,850
"Beech, American",Fagus,grandifolia,Fagus grandifolia,Hardwood,12%,0.64,14900,1.72,15.1,41,7300,1010,2010,1010,1300
"Birch, Paper",Betula,papyrifera,Betula papyrifera,Hardwood,Green,0.48,6400,1.17,16.2,49,2360,270,840,380,560
"Birch, Paper",Betula,papyrifera,Betula papyrifera,Hardwood,12%,0.55,12300,1.59,16,34,5690,600,1210,,910
"Birch, Sweet",Betula,lenta,Betula lenta,Hardwood,Green,0.6,9400,1.65,15.7,48,3740,470,1240,430,970
"Birch, Sweet",Betula,lenta,Betula lenta,Hardwood,12%,0.65,16900,2.17,18,47,8540,1080,2240,950,1470
"Birch, Yellow",Betula,alleghaniensis,Betula alleghaniensis,Hardwood,Green,0.55,8300,1.5,16.1,48,3380,430,1110,430,780
"Birch, Yellow",Betula,alleghaniensis,Betula alleghaniensis,Hardwood,12%,0.62,16600,2.01,20.8,55,8170,970,1880,920,1260
Butternut,Juglans,cinerea,Juglans cinerea,Hardwood,Green,0.36,5400,0.97,8.2,24,2420,220,760,430,390
Butternut,Juglans,cinerea,Juglans cinerea,Hardwood,12%,0.38,8100,1.18,8.2,24,5110,460,1170,440,490
"Cherry, Black",Prunus,serotina,Prunus serotina,Hardwood,Green,0.47,8000,1.31,12.8,33,3540,360,1130,570,660
"Cherry, Black",Prunus,serotina,Prunus serotina,Hardwood,12%,0.5,12300,1.49,11.4,29,7110,690,1700,560,950
"Chestnut, American",Castanea,dentata,Castanea dentata,Hardwood,Green,0.4,5600,0.93,7,24,2470,310,800,440,420
"Chestnut, American",Castanea,dentata,Castanea dentata,Hardwood,12%,0.43,8600,1.23,6.5,19,5320,620,1080,460,540
"Cottonwood, Balsam, Poplar",Populus,balsamifera,Populus balsamifera,Hardwood,Green,0.31,3900,0.75,4.2,,1690,140,500,,
"Cottonwood, Balsam, Poplar",Populus,balsamifera,Populus balsamifera,Hardwood,12%,0.34,6800,1.1,5,,4020,300,790,,
"Cottonwood, Black",Populus,trichocarpa,Populus trichocarpa,Hardwood,Green,0.31,4900,1.08,5,20,2200,160,610,270,250
"Cottonwood, Black",Populus,trichocarpa,Populus trichocarpa,Hardwood,12%,0.35,8500,1.27,6.7,22,4500,300,1040,330,350
"Cottonwood, Eastern",Populus,deltoides,Populus deltoides,Hardwood,Green,0.37,5300,1.01,7.3,21,2280,200,680,410,340
"Cottonwood, Eastern",Populus,deltoides,Populus deltoides,Hardwood,12%,0.4,8500,1.37,7.4,20,4910,380,930,580,430
"Elm, American",Ulmus,americana,Ulmus americana,Hardwood,Green,0.46,7200,1.11,11.8,38,2910,360,1000,590,620
"Elm, American",Ulmus,americana,Ulmus americana,Hardwood,12%,0.5,11800,1.34,13,39,5520,690,1510,660,830
"Elm, Rock",Ulmus,thomasii,Ulmus thomasii,Hardwood,Green,0.57,9500,1.19,19.8,54,3780,610,1270,,940
"Elm, Rock",Ulmus,thomasii,Ulmus thomasii,Hardwood,12%,0.63,14800,1.54,19.2,56,7050,1230,1920,,1320
"Elm, Slippery",Ulmus,rubra,Ulmus rubra,Hardwood,Green,0.48,8000,1.23,15.4,47,3320,420,1110,640,660
"Elm, Slippery",Ulmus,rubra,Ulmus rubra,Hardwood,12%,0.53,13000,1.49,16.9,45,6360,820,1630,530,860
Hackberry,Celtis,occidentalis,Celtis occidentalis,Hardwood,Green,0.49,6500,0.95,14.5,48,2650,400,1070,630,700
Hackberry,Celtis,occidentalis,Celtis occidentalis,Hardwood,12%,0.53,11000,1.19,12.8,43,5440,890,1590,580,880
"Hickory, Pecan, Bitternut",Carya,cordiformis,Carya cordiformis,Hardwood,Green,0.6,10300,1.4,20,66,4570,800,1240,,
"Hickory, Pecan, Bitternut",Carya,cordiformis,Carya cordiformis,Hardwood,12%,0.66,17100,1.79,18.2,66,9040,1680,,,
"Hickory, Pecan, Nutmeg",Carya,myristiciformis,Carya myristiciformis,Hardwood,Green,0.56,9100,1.29,22.8,54,3980,760,1030,,
"Hickory, Pecan, Nutmeg",Carya,myristiciformis,Carya myristiciformis,Hardwood,12%,0.6,16600,1.7,25.1,,6910,1570,,,
"Hickory, Pecan, Pecan",Carya,illinoinensis,Carya illinoinensis,Hardwood,Green,0.6,9800,1.37,14.6,53,3990,780,1480,680,1310
"Hickory, Pecan, Pecan",Carya,illinoinensis,Carya illinoinensis,Hardwood,12%,0.66,13700,1.73,13.8,44,7850,1720,2080,,1820
"Hickory, Pecan, Water",Carya,aquatica,Carya aquatica,Hardwood,Green,0.61,10700,1.56,18.8,56,4660,880,1440,,
"Hickory, Pecan, Water",Carya,aquatica,Carya aquatica,Hardwood,12%,0.62,17800,2.02,19.3,53,8600,1550,,,
"Hickory, True, Mockernut",Carya,tomentosa,Carya tomentosa,Hardwood,Green,0.64,11100,1.57,26.1,88,4480,810,1280,,1440
"Hickory, True, Mockernut",Carya,tomentosa,Carya tomentosa,Hardwood,12%,0.72,19200,2.22,22.6,77,8940,1730,1740,,1970
"Hickory, True, Pignut",Carya,glabra,Carya glabra,Hardwood,Green,0.66,11700,1.65,31.7,89,4810,920,1370,,1520
"Hickory, True, Pignut",Carya,glabra,Carya glabra,Hardwood,12%,0.75,20100,2.26,30.4,74,9190,1980,2150,,2140
"Hickory, True, Shagbark",Carya,ovata,Carya ovata,Hardwood,Green,0.64,11000,1.57,23.7,74,4580,840,1520,,1460
"Hickory, True, Shagbark",Carya,ovata,Carya ovata,Hardwood,12%,0.72,20200,2.16,25.8,67,9210,1760,2430,,1880
"Hickory, True, Shellbark",Carya,laciniosa,Carya laciniosa,Hardwood,Green,0.62,10500,1.34,29.9,104,3920,810,1190,,1670
"Hickory, True, Shellbark",Carya,laciniosa,Carya laciniosa,Hardwood,12%,0.69,18100,1.89,23.6,88,8000,1800,2110,,1810
Honey Locust,Gleditsia,triacanthos,Gleditsia triacanthos,Hardwood,Green,0.6,10200,1.29,12.6,47,4420,1150,1660,930,1390
Honey Locust,Gleditsia,triacanthos,Gleditsia triacanthos,Hardwood,12%,,14700,1.63,13.3,47,7500,1840,2250,900,1580
"Locust, Black",Robinia,pseudoacacia,Robinia pseudoacacia,Hardwood,Green,0.66,13800,1.85,15.4,44,6800,1160,1760,770,1570
"Locust, Black",Robinia,pseudoacacia,Robinia pseudoacacia,Hardwood,12%,0.69,19400,2.05,18.4,57,10180,1830,2480,640,1700
"Magnolia, Cucumbertree",Magnolia,acuminata,Magnolia acuminata,Hardwood,Green,0.44,7400,1.56,10,30,3140,330,990,440,520
"Magnolia, Cucumbertree",Magnolia,acuminata,Magnolia acuminata,Hardwood,12%,0.48,12300,1.82,12.2,35,6310,570,1340,660,700
"Magnolia, Southern",Magnolia,grandiflora,Magnolia grandiflora,Hardwood,Green,0.46,6800,1.11,15.4,54,2700,460,1040,610,740
"Magnolia, Southern",Magnolia,grandiflora,Magnolia grandiflora,Hardwood,12%,0.5,11200,1.4,12.8,29,5460,860,1530,740,1020
"Maple, Bigleaf",Acer,macrophyllum,Acer macrophyllum,Hardwood,Green,0.44,7400,1.1,8.7,23,3240,450,1110,600,620
"Maple, Bigleaf",Acer,macrophyllum,Acer macrophyllum,Hardwood,12%,0.48,10700,1.45,7.8,28,5950,750,1730,540,850
"Maple, Black",Acer,nigrum,Acer nigrum,Hardwood,Green,0.52,7900,1.33,12.8,48,3270,600,1130,720,840
"Maple, Black",Acer,nigrum,Acer nigrum,Hardwood,12%,0.57,13300,1.62,12.5,40,6680,1020,1820,670,1180
"Maple, Red",Acer,rubrum,Acer rubrum,Hardwood,Green,0.49,7700,1.39,11.4,32,3280,400,1150,,700
"Maple, Red",Acer,rubrum,Acer rubrum,Hardwood,12%,0.54,13400,1.64,12.5,32,6540,1000,1850,,950
"Maple, Silver",Acer,saccharinum,Acer saccharinum,Hardwood,Green,0.44,5800,0.94,11,29,2490,370,1050,560,590
"Maple, Silver",Acer,saccharinum,Acer saccharinum,Hardwood,12%,0.47,8900,1.14,8.3,25,5220,740,1480,500,700
"Maple, Sugar",Acer,saccharum,Acer saccharum,Hardwood,Green,0.56,9400,1.55,13.3,40,4020,640,1460,,970
"Maple, Sugar",Acer,saccharum,Acer saccharum,Hardwood,12%,0.63,15800,1.83,16.5,39,7830,1470,2330,,1450
"Oak, Red, Black",Quercus,velutina,Quercus velutina,Hardwood,Green,0.56,8200,1.18,12.2,40,3470,710,1220,,1060
"Oak, Red, Black",Quercus,velutina,Quercus velutina,Hardwood,12%,0.61,13900,1.64,13.7,41,6520,930,1910,,1210
"Oak, Red, Cherrybark",Quercus,pagoda,Quercus pagoda,Hardwood,Green,0.61,10800,1.79,14.7,54,4620,760,1320,800,1240
"Oak, Red, Cherrybark",Quercus,pagoda,Quercus pagoda,Hardwood,12%,0.68,18100,2.28,18.3,49,8740,1250,2000,840,1480
"Oak, Red, Laurel",Quercus,laurifolia,Quercus laurifolia,Hardwood,Green,0.56,7900,1.39,11.2,39,3170,570,1180,770,1000
